HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,1,0,1,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,1,0
1,1,1,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,1
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,1,0,1,0
1,1,0,1,0,0,0,0,1,0,1,0
1,1,0,1,0,0,0,0,1,0,1,0
1,0,0,1,1,0,0,0,0,0,1,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,1,1,0,1,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,0,0,1,0,0,0,0,1,0,1,0
1,1,1,0,0,0,0,0,1,0,0,1
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,1,0,0,1,0,0
1,0,1,0,0,0,0,0,1,0,0,1
1,1,1,0,0,0,1,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,1,0,0,1
1,0,1,0,0,0,0,0,1,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0,1,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,1,0,0,1,0,0
1,0,0,1,1,1,0,0,0,0,1,0
1,0,0,1,1,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,1
1,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,1
1,1,0,1,1,0,0,0,0,0,0,1
1,1,0,1,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,1,0,0,0,1,0,0
1,0,0,1,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,1,0
1,1,1,0,0,0,0,0,1,1,0,0
1,0,0,1,0,0,0,0,1,0,1,0
1,1,0,1,0,1,0,0,0,0,0,1
1,1,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,1,0,1,0
1,1,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,1,0,1,0
1,1,1,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,0,0,1,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,1
1,1,0,1,1,1,0,0,0,0,0,1
1,1,1,0,0,0,0,0,1,1,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,0,1,0,0,1,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,1,0,1,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0,1,0
1,0,1,0,0,0,0,0,1,1,0,0
1,1,0,1,0,0,0,0,1,0,1,0
1,0,1,0,0,0,0,0,1,1,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,1,0,1,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0,1,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0,1,0,0
1,0,0,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,1,0,0,0,1,0
1,0,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,0,0,1,0,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,1,1,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,1,0,1,0,0,0,0,1,0,1,0
1,0,0,1,1,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0,1,0
1,1,1,0,0,0,0,0,1,1,0,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,1,0,0,1,0,0
1,1,0,1,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,1,0,1,0
1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0,0,1
1,1,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,1,0
1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,1,0,1,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,0,0,1,0,0,0,0,1,0,0,1
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0,1,0,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,1
1,1,0,1,0,0,0,0,1,0,1,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,0,0,1,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,1,0,1,0
1,0,1,0,0,0,0,0,1,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0,0
1,1,0,1,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,1,0,1,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,0,0,1,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,0,0,1,0,0
1,1,1,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,0,1,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,0,1,0,1,0,0,0,0,1,0,0
1,1,1,0,0,1,0,0,0,1,0,0
1,0,0,1,0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0,0,1
1,1,0,1,0,0,0,0,1,0,1,0
1,0,0,1,1,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,1,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,0,0,1,1,0,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,1,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,0,0,0,1,0,0
1,0,1,0,0,0,0,1,0,1,0,0
1,0,0,1,0,0,0,0,1,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,1,0,1,0
1,1,1,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,0,0,1,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,0,0,1,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,0,0,1,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0,1,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,1,0,0,1,0
1,1,1,0,0,0,0,1,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0,1,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0
1,1,1,0,0,0,0,1,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0
